,movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,time
0,Snow White and the Seven Dwarfs,1937,Musical,G,184925485,5228953251,1950s - 1970s
1,Pinocchio,1940,Adventure,G,84300000,2188229052,1950s - 1970s
2,Fantasia,1940,Musical,G,83320000,2187090808,1950s - 1970s
3,Song of the South,1946,Adventure,G,65000000,1078510579,1950s - 1970s
4,Cinderella,1950,Drama,G,85000000,920608730,1950s - 1970s
5,"20,000 Leagues Under the Sea",1954,Adventure,,28200000,528279994,1950s - 1970s
6,Lady and the Tramp,1955,Drama,G,93600000,1236035515,1950s - 1970s
7,Sleeping Beauty,1959,Drama,,9464608,21505832,1950s - 1970s
8,101 Dalmatians,1961,Comedy,G,153000000,1362870985,1950s - 1970s
9,The Absent Minded Professor,1961,Comedy,,25381407,310094574,1950s - 1970s
10,Babes in Toyland,1961,Musical,G,10218316,124841160,1950s - 1970s
11,Bon Voyage!,1962,Comedy,Not Rated,9230769,109581646,1950s - 1970s
12,The Sword in the Stone,1963,Adventure,,22182353,153870834,1950s - 1970s
13,The Jungle Book,1967,Musical,Not Rated,141843000,789612346,1950s - 1970s
14,Blackbeard's Ghost,1968,Comedy,,21540050,138612686,1950s - 1970s
15,The Aristocats,1970,Musical,G,55675257,255161499,1970s - 1990s
16,The Boatniks,1970,Comedy,,18607492,101200742,1970s - 1990s
17,Bedknobs and Broomsticks,1971,Musical,,17871174,91305448,1970s - 1990s
18,The Apple Dumpling Gang,1975,Comedy,,31916500,131246872,1970s - 1990s
19,Freaky Friday,1977,Comedy,,25942000,98067733,1970s - 1990s
20,The Many Adventures of Winnie the Pooh,1977,,,0,0,1970s - 1990s
21,The Rescuers,1977,Adventure,,48775599,159743914,1970s - 1990s
22,Herbie Goes to Monte Carlo,1977,,,28000000,105847527,1970s - 1990s
23,The Black Hole,1979,,,35841901,120377374,1970s - 1990s
24,Midnight Madness,1980,,,2900000,9088096,1970s - 1990s
25,The Last Flight of Noah’s Ark,1980,,,11000000,34472116,1970s - 1990s
26,The Devil and Max Devlin,1981,,,16000000,48517980,1970s - 1990s
27,Amy,1981,Drama,,0,0,1970s - 1990s
28,The Fox and the Hound,1981,Comedy,,43899231,133118889,1970s - 1990s
29,Condorman,1981,Action,,0,0,1970s - 1990s
30,Night Crossing,1982,Drama,,4500000,12903059,1970s - 1990s
31,Tron,1982,Action,,26918576,77184895,1970s - 1990s
32,Tex,1982,Drama,,7199408,20643199,1970s - 1990s
33,Trenchcoat,1983,Comedy,,4304286,11519089,1970s - 1990s
34,Something Wicked This Way Comes,1983,Horror,,5656087,15136765,1970s - 1990s
35,Never Cry Wolf,1983,Drama,,27668764,70669955,1970s - 1990s
36,Running Brave,1983,Drama,,1204595,3223725,1970s - 1990s
37,Splash,1984,Comedy,PG,62599495,157057661,1970s - 1990s
38,Country,1984,Drama,,8400000,21075000,1970s - 1990s
39,Baby: Secret of the Lost Legend,1985,Adventure,,14276095,33900697,1970s - 1990s
40,Return to Oz,1985,Adventure,,10618813,25215934,1970s - 1990s
41,The Black Cauldron,1985,Adventure,,21288692,50553142,1970s - 1990s
42,My Science Project,1985,Comedy,,4100000,9736051,1970s - 1990s
43,The Journey of Natty Gann,1985,Drama,,9468512,22302956,1970s - 1990s
44,One Magic Christmas,1985,Drama,,13229514,31415432,1970s - 1990s
45,Down and Out in Beverly Hills,1986,Comedy,R,62134225,141183693,1970s - 1990s
46,Off Beat,1986,Comedy,,4842778,11003932,1970s - 1990s
47,Ruthless People,1986,Comedy,R,71624879,162748712,1970s - 1990s
48,The Great Mouse Detective,1986,Adventure,,23605534,53637367,1970s - 1990s
49,Flight of the Navigator,1986,Adventure,,18564613,42183197,1970s - 1990s
50,Tough Guys,1986,Comedy,,21458229,48758184,1970s - 1990s
51,The Color of Money,1986,Drama,R,52293000,117957323,1970s - 1990s
52,Outrageous Fortune,1987,Comedy,R,52864741,113976921,1970s - 1990s
53,Tin Men,1987,Comedy,,25411386,54787202,1970s - 1990s
54,Ernest Goes to Camp,1987,Comedy,,23509382,50686462,1970s - 1990s
55,Benji the Hunted,1987,Adventure,,15212539,32798382,1970s - 1990s
56,Adventures in Babysitting,1987,Comedy,,33790923,72853569,1970s - 1990s
57,Stakeout,1987,Comedy,R,65673233,141592160,1970s - 1990s
58,Can't Buy Me Love,1987,Romantic Comedy,,31623833,68181300,1970s - 1990s
59,Hello Again,1987,Comedy,,20419446,44024529,1970s - 1990s
60,3 Men and a Baby,1987,Comedy,PG,167780960,353334607,1970s - 1990s
61,Good Morning Vietnam,1987,Comedy,R,123922370,254414837,1970s - 1990s
62,Shoot to Kill,1988,Action,,29300000,60097074,1970s - 1990s
63,D.O.A.,1988,Thriller/Suspense,,12706478,26062188,1970s - 1990s
64,Return to Snowy River,1988,Adventure,PG,13687027,28073384,1970s - 1990s
65,Big Business,1988,Comedy,PG,40150487,82352451,1970s - 1990s
66,Who Framed Roger Rabbit?,1988,Comedy,PG,154112492,316250084,1970s - 1990s
67,Cocktail,1988,Drama,R,78222753,160442289,1970s - 1990s
68,The Rescue,1988,Action,,5855392,12009960,1970s - 1990s
69,Heartbreak Hotel,1988,Comedy,,5509417,11300331,1970s - 1990s
70,The Good Mother,1988,Drama,,4764606,9772655,1970s - 1990s
71,Ernest Saves Christmas,1988,Comedy,PG,28202109,57845202,1970s - 1990s
72,Oliver & Company,1988,Adventure,G,49576671,102254492,1970s - 1990s
